iter	Passed	Remaining
0	1	180
1	3	170
2	4	157
3	5	141
4	7	138
5	8	135
6	10	133
7	11	131
8	12	129
9	14	127
10	15	126
11	17	129
12	19	127
13	20	125
14	21	123
15	23	121
16	24	119
17	25	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	109
23	34	108
24	35	106
25	36	105
26	38	103
27	39	102
28	41	100
29	42	99
30	44	98
31	45	96
32	46	94
33	47	92
34	48	90
35	49	88
36	50	86
37	52	84
38	53	83
39	54	81
40	55	79
41	55	77
42	57	75
43	58	74
44	59	72
45	60	71
46	61	69
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	52
59	75	50
60	77	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	119	2
98	120	1
99	121	0
